date,value
2010-03-31,0.7
2010-06-30,0.5
2010-09-30,0.7
2010-12-31,0.6
2011-03-31,0.8
2011-06-30,0.6
2011-09-30,1.4
2011-12-31,1.1
2012-03-31,0.9
2012-06-30,0.8
2012-09-30,0.6
2012-12-31,0.6
2013-03-31,0.3
2013-06-30,0.5
2013-09-30,0.8
2013-12-31,0.8
2014-03-31,0.7
2014-06-30,0.5
2014-09-30,0.5
2014-12-31,0.4
2015-03-31,0.9
2015-06-30,0.1
2015-09-30,1.1
2015-12-31,0.6
2016-03-31,0.9
2016-06-30,0.7
2016-09-30,0.2
2016-12-31,1.0
2017-03-31,0.3
2017-06-30,0.6
2017-09-30,1.0
2017-12-31,0.5
2018-03-31,0.9
2018-06-30,0.7
2018-09-30,0.3
2018-12-31,0.2
2019-03-31,0.5
2019-06-30,0.6
2019-09-30,0.6
2019-12-31,0.5
2020-03-31,-0.3
2020-06-30,-7.0
2020-09-30,3.6
2020-12-31,3.2
2021-03-31,1.8
2021-06-30,0.8
2021-09-30,-1.8
2021-12-31,3.6
2022-03-31,0.7
2022-06-30,0.9
2022-09-30,0.6
2022-12-31,0.6
2023-03-31,0.3
2023-06-30,0.4
2023-09-30,0.3
2023-12-31,0.3
2024-03-31,0.1
2024-06-30,0.2
2024-09-30,0.3
2024-12-31,0.3
2025-03-31,0.2
2025-06-30,0.3
2025-09-30,0.4
