date,value,party,colour
1901-03-29,Edmund Barton,Protectionist,#8B4513
1903-12-16,Alfred Deakin,Protectionist,#8B4513
1906-12-12,Alfred Deakin,Protectionist,#8B4513
1910-04-13,Andrew Fisher,Labor,#E13940
1913-05-31,Joseph Cook,Liberal,#0047AB
1914-09-05,Andrew Fisher,Labor,#E13940
1917-05-05,Billy Hughes,Nationalist,#0047AB
1919-12-13,Billy Hughes,Nationalist,#0047AB
1922-12-16,Stanley Bruce,Nationalist,#0047AB
1925-11-14,Stanley Bruce,Nationalist,#0047AB
1928-11-17,Stanley Bruce,Nationalist,#0047AB
1929-10-12,James Scullin,Labor,#E13940
1931-12-19,Joseph Lyons,United Australia,#0047AB
1934-09-15,Joseph Lyons,United Australia,#0047AB
1937-10-23,Joseph Lyons,United Australia,#0047AB
1940-09-21,Robert Menzies,United Australia,#0047AB
1943-08-21,John Curtin,Labor,#E13940
1946-09-28,Ben Chifley,Labor,#E13940
1949-12-10,Robert Menzies,Liberal,#0047AB
1951-04-28,Robert Menzies,Liberal,#0047AB
1954-05-29,Robert Menzies,Liberal,#0047AB
1955-12-10,Robert Menzies,Liberal,#0047AB
1958-11-22,Robert Menzies,Liberal,#0047AB
1961-12-09,Robert Menzies,Liberal,#0047AB
1963-11-30,Robert Menzies,Liberal,#0047AB
1966-11-26,Harold Holt,Liberal,#0047AB
1969-10-25,John Gorton,Liberal,#0047AB
1972-12-02,Gough Whitlam,Labor,#E13940
1974-05-18,Gough Whitlam,Labor,#E13940
1975-12-13,Malcolm Fraser,Liberal,#0047AB
1977-12-10,Malcolm Fraser,Liberal,#0047AB
1980-10-18,Malcolm Fraser,Liberal,#0047AB
1983-03-05,Bob Hawke,Labor,#E13940
1984-12-01,Bob Hawke,Labor,#E13940
1987-07-11,Bob Hawke,Labor,#E13940
1990-03-24,Bob Hawke,Labor,#E13940
1993-03-13,Paul Keating,Labor,#E13940
1996-03-02,John Howard,Liberal,#0047AB
1998-10-03,John Howard,Liberal,#0047AB
2001-11-10,John Howard,Liberal,#0047AB
2004-10-09,John Howard,Liberal,#0047AB
2007-11-24,Kevin Rudd,Labor,#E13940
2010-08-21,Julia Gillard,Labor,#E13940
2013-09-07,Tony Abbott,Liberal,#0047AB
2016-07-02,Malcolm Turnbull,Liberal,#0047AB
2019-05-18,Scott Morrison,Liberal,#0047AB
2022-05-21,Anthony Albanese,Labor,#E13940
2025-05-03,Anthony Albanese,Labor,#E13940
