date,value,index
2020-03-31,2.1,122.8
2020-06-30,1.8,123.3
2020-09-30,1.4,123.7
2020-12-31,1.4,124.3
2021-03-31,1.5,125.0
2021-06-30,1.7,125.6
2021-09-30,2.2,126.4
2021-12-31,2.3,127.2
2022-03-31,2.4,128.0
2022-06-30,2.6,128.9
2022-09-30,3.1,130.2
2022-12-31,3.3,131.4
2023-03-31,3.7,133.0
2023-06-30,3.6,134.1
2023-09-30,4.0,135.8
2023-12-31,4.2,137.5
2024-03-31,4.1,139.0
2024-06-30,4.1,140.4
2024-09-30,3.5,141.2
2024-12-31,3.2,142.1
2025-03-31,3.1,142.9
2025-06-30,3.3,143.8
2025-09-30,3.5,144.8
