date,value,party,colour
1975-04-19,Nicolaas Diederichs,National Party,#FF8C00
1978-10-10,Balthazar Johannes Vorster,National Party,#FF8C00
1979-06-04,Marais Viljoen,National Party,#FF8C00
1984-09-03,Pieter Willem Botha,National Party,#FF8C00
1989-08-15,Frederik Willem de Klerk,National Party,#FF8C00
1994-04-27,Nelson Mandela,African National Congress,#006600
1999-06-02,Thabo Mbeki,African National Congress,#006600
2004-04-14,Thabo Mbeki,African National Congress,#006600
2009-04-22,Jacob Zuma,African National Congress,#006600
2014-05-07,Jacob Zuma,African National Congress,#006600
2019-05-08,Cyril Ramaphosa,African National Congress,#006600
2024-05-29,Cyril Ramaphosa,African National Congress,#006600
