date,value,index
2001-03-31,7.38,48.27437
2001-06-30,6.31,48.91926
2001-09-30,4.42,48.91926
2001-12-31,4.59,49.37989
2002-03-31,6.32,51.324940000000005
2002-06-30,8.14,52.90237
2002-09-30,11.42,54.50735
2002-12-31,13.51,56.05033
2003-03-31,10.62,56.77361
2003-06-30,7.37,56.80116
2003-09-30,3.2,56.2501
2003-12-31,-1.63,55.13419
2004-03-31,-1.7,55.80924
2004-06-30,-1.54,55.92635
2004-09-30,-0.55,55.94011999999999
2004-12-31,2.2,56.34653
2005-03-31,1.94,56.89071
2005-06-30,1.58,56.80805
2005-09-30,2.56,57.372890000000005
2005-12-31,2.02,57.48311
2006-03-31,1.86,57.95151
2006-06-30,3.4,58.73678
2006-09-30,4.06,59.70115
2006-12-31,4.82,60.25222
2007-03-31,5.33,61.03748
2007-06-30,6.03,62.27738000000001
2007-09-30,6.48,63.572390000000006
2007-12-31,7.57,64.81229
2008-03-31,9.47,66.81515
2008-06-30,10.32,68.70169
2008-09-30,11.04,70.58823000000001
2008-12-31,9.15,70.74545
2009-03-31,9.18,72.94642
2009-06-30,7.32,73.73248000000001
2009-09-30,6.01,74.83296
2009-12-31,6.22,75.14738
2010-03-31,4.74,76.40508
2010-06-30,3.84,76.56229
2010-09-30,3.15,77.19114999999998
2010-12-31,3.35,77.66277999999998
2011-03-31,3.91,79.39211
2011-06-30,5.13,80.49259999999998
2011-09-30,5.91,81.75029999999998
2011-12-31,6.28,82.53635
2012-03-31,6.14,84.26569
2012-06-30,5.66,85.05175
2012-09-30,5.38,86.15224
2012-12-31,5.71,87.25271999999998
2013-03-31,6.16,89.45369000000002
2013-06-30,5.36,89.6109
2013-09-30,6.02,91.34023
2013-12-31,5.23,91.81187000000001
2014-03-31,5.8,94.64169
2014-06-30,6.84,95.74217
2014-09-30,6.02,96.84266
2014-12-31,5.48,96.84266
2015-03-31,4.15,98.57199000000001
2015-06-30,4.6,100.1441
2015-09-30,4.38,101.0874
2015-12-31,5.19,101.8734
2016-03-31,6.54,105.0177
2016-06-30,6.59,106.747
2016-09-30,6.53,107.6903
2016-12-31,6.94,108.948
2017-03-31,6.14,111.4634
2017-06-30,5.01,112.0922
2017-09-30,4.82,112.8783
2017-12-31,4.47,113.8216
2018-03-31,3.67,115.5509
2018-06-30,4.35,116.9658
2018-09-30,4.87,118.3807
2018-12-31,4.56,119.0096
2019-03-31,4.49,120.7389
2019-06-30,4.44,122.1538
2019-09-30,4.12,123.2543
2019-12-31,3.96,123.7259
2020-03-31,4.17,125.7697
2020-06-30,2.19,124.8264
2020-09-30,2.93,126.8702
2020-12-31,3.05,127.499
2021-03-31,3.12,129.7
2021-06-30,5.04,131.1149
2021-09-30,5.08,133.3159
2021-12-31,5.92,135.0452
2022-03-31,6.06,137.5606
2022-06-30,7.43,140.862
2022-09-30,7.78,143.6919
2022-12-31,7.57,145.264
2023-03-31,7.31,147.6222
2023-06-30,5.69,148.8799
2023-09-30,5.47,151.5525
2023-12-31,5.19,152.8102
2024-03-31,5.32,155.4828
2024-06-30,4.96,156.2688
2024-09-30,3.73,157.2121
2024-12-31,2.88,157.2121
2025-03-31,1.42,157.6837
