date,value
2000-06-30,0.92
2000-09-30,0.99
2000-12-31,0.85
2001-03-31,0.61
2001-06-30,0.5
2001-09-30,0.27
2001-12-31,0.77
2002-03-31,1.09
2002-06-30,1.27
2002-09-30,1.13
2002-12-31,0.83
2003-03-31,0.63
2003-06-30,0.49
2003-09-30,0.54
2003-12-31,0.58
2004-03-31,1.51
2004-06-30,1.4
2004-09-30,1.64
2004-12-31,1.07
2005-03-31,1.02
2005-06-30,1.79
2005-09-30,1.36
2005-12-31,0.67
2006-03-31,1.76
2006-06-30,1.42
2006-09-30,1.38
2006-12-31,1.38
2007-03-31,1.62
2007-06-30,0.82
2007-09-30,1.17
2007-12-31,1.42
2008-03-31,0.42
2008-06-30,1.22
2008-09-30,0.24
2008-12-31,-0.57
2009-03-31,-1.56
2009-06-30,-0.34
2009-09-30,0.23
2009-12-31,0.67
2010-03-31,1.17
2010-06-30,0.84
2010-09-30,0.89
2010-12-31,0.93
2011-03-31,0.98
2011-06-30,0.56
2011-09-30,0.41
2011-12-31,0.68
2012-03-31,0.57
2012-06-30,0.83
2012-09-30,0.41
2012-12-31,0.48
2013-03-31,0.78
2013-06-30,0.73
2013-09-30,0.47
2013-12-31,0.54
2014-03-31,-0.14
2014-06-30,0.39
2014-09-30,0.48
2014-12-31,0.75
2015-03-31,0.72
2015-06-30,-0.84
2015-09-30,0.45
2015-12-31,0.43
2016-03-31,0.24
2016-06-30,0.1
2016-09-30,-0.01
2016-12-31,0.08
2017-03-31,0.47
2017-06-30,0.55
2017-09-30,0.18
2017-12-31,0.39
2018-03-31,0.53
2018-06-30,-0.25
2018-09-30,1.23
2018-12-31,0.28
2019-03-31,-0.87
2019-06-30,0.45
2019-09-30,0.11
2019-12-31,-0.04
2020-03-31,-0.04
2020-06-30,-16.84
2020-09-30,13.76
2020-12-31,2.76
2021-03-31,0.56
2021-06-30,1.39
2021-09-30,-1.74
2021-12-31,1.6
2022-03-31,1.52
2022-06-30,-0.91
2022-09-30,1.85
2022-12-31,-1.44
2023-03-31,0.69
2023-06-30,0.81
2023-09-30,-0.38
2023-12-31,0.39
2024-03-31,0.09
2024-06-30,0.26
2024-09-30,-0.29
2024-12-31,0.4
2025-03-31,0.11
2025-06-30,0.93
2025-09-30,0.5
