date,value
1995-03-31,25965
1996-03-31,26832
1997-03-31,24588
1998-03-31,24875
1999-03-31,24875
2000-03-31,23823
2001-03-31,21683
2002-03-31,21405
2003-03-31,21553
2004-03-31,19824
2005-03-31,18793
2006-03-31,18545
2007-03-31,19202
2008-03-31,18487
2009-03-31,18148
2010-03-31,16834
2011-03-31,15940
2012-03-31,15554
2013-03-31,16259
2014-03-31,16865
2015-03-31,17805
2016-03-31,18673
2017-03-31,19016
2018-03-31,20336
2019-03-31,21022
2020-03-31,21325
2021-03-31,21325
2022-03-31,26208
2023-03-31,27494
2024-03-31,27621
2025-03-31,24692
