date,value
1998-01-31,16.0
1998-02-28,16.0
1998-03-31,15.0
1998-04-30,14.93
1998-05-31,18.0
1998-06-30,20.21
1998-07-31,21.35
1998-08-31,21.85
1998-09-30,21.85
1998-10-31,20.72
1998-11-30,19.73
1998-12-31,19.32
1999-01-31,18.83
1999-02-28,17.36
1999-03-31,16.5
1999-04-30,15.66
1999-05-31,15.46
1999-06-30,14.91
1999-07-31,13.65
1999-08-31,13.44
1999-09-30,12.4
1999-10-31,12.19
1999-11-30,12.0
1999-12-31,12.0
2000-01-31,11.75
2000-02-29,11.75
2000-03-31,11.75
2000-04-30,11.75
2000-05-31,11.75
2000-06-30,11.75
2000-07-31,11.75
2000-08-31,11.75
2000-09-30,11.75
2000-10-31,12.0
2000-11-30,12.0
2000-12-31,12.0
2001-01-31,12.0
2001-02-28,12.0
2001-03-31,12.0
2001-04-30,12.0
2001-05-31,12.0
2001-06-30,11.0
2001-07-31,11.0
2001-08-31,11.0
2001-09-30,9.5
2001-10-31,9.5
2001-11-30,9.5
2001-12-31,9.5
2002-01-31,10.5
2002-02-28,10.5
2002-03-31,11.5
2002-04-30,11.5
2002-05-31,11.5
2002-06-30,12.5
2002-07-31,12.5
2002-08-31,12.5
2002-09-30,13.5
2002-10-31,13.5
2002-11-30,13.5
2002-12-31,13.5
2003-01-31,13.5
2003-02-28,13.5
2003-03-31,13.5
2003-04-30,13.5
2003-05-31,13.5
2003-06-30,12.0
2003-07-31,12.0
2003-08-31,11.0
2003-09-30,10.0
2003-10-31,8.5
2003-11-30,8.5
2003-12-31,8.0
2004-01-31,8.0
2004-02-29,8.0
2004-03-31,8.0
2004-04-30,8.0
2004-05-31,8.0
2004-06-30,8.0
2004-07-31,8.0
2004-08-31,7.5
2004-09-30,7.5
2004-10-31,7.5
2004-11-30,7.5
2004-12-31,7.5
2005-01-31,7.5
2005-02-28,7.5
2005-03-31,7.5
2005-04-30,7.0
2005-05-31,7.0
2005-06-30,7.0
2005-07-31,7.0
2005-08-31,7.0
2005-09-30,7.0
2005-10-31,7.0
2005-11-30,7.0
2005-12-31,7.0
2006-01-31,7.0
2006-02-28,7.0
2006-03-31,7.0
2006-04-30,7.0
2006-05-31,7.0
2006-06-30,7.5
2006-07-31,7.5
2006-08-31,8.0
2006-09-30,8.0
2006-10-31,8.5
2006-11-30,8.5
2006-12-31,9.0
2007-01-31,9.0
2007-02-28,9.0
2007-03-31,9.0
2007-04-30,9.0
2007-05-31,9.0
2007-06-30,9.5
2007-07-31,9.5
2007-08-31,10.0
2007-09-30,10.0
2007-10-31,10.5
2007-11-30,10.5
2007-12-31,11.0
2008-01-31,11.0
2008-02-29,11.0
2008-03-31,11.0
2008-04-30,11.5
2008-05-31,11.5
2008-06-30,12.0
2008-07-31,12.0
2008-08-31,12.0
2008-09-30,12.0
2008-10-31,12.0
2008-11-30,12.0
2008-12-31,11.5
2009-01-31,11.5
2009-02-28,10.5
2009-03-31,9.5
2009-04-30,9.5
2009-05-31,7.5
2009-06-30,7.5
2009-07-31,7.5
2009-08-31,7.0
2009-09-30,7.0
2009-10-31,7.0
2009-11-30,7.0
2009-12-31,7.0
2010-01-31,7.0
2010-02-28,7.0
2010-03-31,6.5
2010-04-30,6.5
2010-05-31,6.5
2010-06-30,6.5
2010-07-31,6.5
2010-08-31,6.5
2010-09-30,6.0
2010-10-31,6.0
2010-11-30,5.5
2010-12-31,5.5
2011-01-31,5.5
2011-02-28,5.5
2011-03-31,5.5
2011-04-30,5.5
2011-05-31,5.5
2011-06-30,5.5
2011-07-31,5.5
2011-08-31,5.5
2011-09-30,5.5
2011-10-31,5.5
2011-11-30,5.5
2011-12-31,5.5
2012-01-31,5.5
2012-02-29,5.5
2012-03-31,5.5
2012-04-30,5.5
2012-05-31,5.5
2012-06-30,5.5
2012-07-31,5.0
2012-08-31,5.0
2012-09-30,5.0
2012-10-31,5.0
2012-11-30,5.0
2012-12-31,5.0
2013-01-31,5.0
2013-02-28,5.0
2013-03-31,5.0
2013-04-30,5.0
2014-01-31,5.5
2014-07-31,5.75
2015-01-31,5.75
2015-07-31,6.0
2016-01-31,6.5
2016-03-31,7.0
2017-07-31,6.75
2018-03-31,6.5
2018-11-30,6.75
2019-07-31,6.5
2019-11-30,6.5
2020-01-31,6.25
2020-03-31,5.25
2020-04-30,4.25
2020-05-31,3.75
2020-07-31,3.5
2021-11-30,3.75
2022-01-31,4.0
2022-03-31,4.25
2022-05-31,4.75
2022-07-31,5.5
2022-09-30,6.25
2022-11-30,7.0
2023-01-31,7.25
2023-03-31,7.75
2023-05-31,8.25
2023-11-30,8.25
2024-03-31,8.25
2024-05-31,8.25
2024-07-31,8.25
2024-09-30,8.0
2024-11-30,7.75
2025-01-31,7.5
2025-03-31,7.25
2025-05-31,7.0
2025-07-31,6.75
2025-09-30,6.5
2025-11-30,6.25
