date,value,index
1981-03-31,19.46,75.1466
1981-06-30,22.65,79.7642
1981-09-30,20.19,81.7584
1981-12-31,17.85,83.6602
1982-03-31,13.03,84.9387
1982-06-30,5.58,84.2168
1982-09-30,2.91,84.1369
1982-12-31,-0.27,83.4358
1983-03-31,1.34,86.0755
1983-06-30,5.5,88.8509
1983-09-30,8.16,90.9997
1983-12-31,12.78,94.1001
1984-03-31,9.44,94.1968
1984-06-30,1.79,90.438
1984-09-30,-4.56,86.8542
1984-12-31,-13.21,81.6699
1985-03-31,-19.3,76.0211
1985-06-30,-21.36,71.1226
1985-09-30,-21.62,68.0769
1985-12-31,-20.25,65.1317
1986-03-31,-20.01,60.8058
1986-06-30,-18.7,57.8214
1986-09-30,-19.19,55.0121
1986-12-31,-18.34,53.1872
1987-03-31,-12.79,53.0257
1987-06-30,-7.89,53.2614
1987-09-30,-2.9,53.4163
1987-12-31,1.61,54.0422
1988-03-31,3.14,54.6897
1988-06-30,1.8,54.2217
1988-09-30,2.23,54.6075
1988-12-31,1.12,54.6484
1989-03-31,-0.48,54.4278
1989-06-30,0.82,54.6666
1989-09-30,0.26,54.7471
1989-12-31,-0.7,54.2681
1990-03-31,0.36,54.6245
1990-06-30,1.33,55.3929
1990-09-30,0.35,54.9364
1990-12-31,-0.68,53.8983
1991-03-31,-1.6,53.7526
1991-06-30,-2.52,53.9957
1991-09-30,-1.5,54.1125
1991-12-31,-1.08,53.3163
1992-03-31,-3.46,51.8936
1992-06-30,-8.38,49.4712
1992-09-30,-11.75,47.7547
1992-12-31,-9.44,48.281
1993-03-31,-7.22,48.1457
1993-06-30,-5.78,46.6112
1993-09-30,-1.89,46.8544
1993-12-31,-2.33,47.1568
1994-03-31,-1.52,47.4159
1994-06-30,3.82,48.3906
1994-09-30,2.57,48.0577
1994-12-31,1.56,47.892
1995-03-31,0.81,47.8021
1995-06-30,-1.78,47.5283
1995-09-30,-1.5,47.3356
1995-12-31,-1.54,47.1526
1996-03-31,-2.24,46.7297
1996-06-30,-2.76,46.2168
1996-09-30,-4.03,45.4303
1996-12-31,-4.85,44.8662
1997-03-31,-5.39,44.2099
1997-06-30,-3.22,44.7291
1997-09-30,1.91,46.2972
1997-12-31,7.86,48.3934
1998-03-31,11.51,49.3001
1998-06-30,10.83,49.5736
1998-09-30,5.52,48.8527
1998-12-31,-0.87,47.9721
1999-03-31,-3.65,47.5014
1999-06-30,-2.29,48.4388
1999-09-30,0.24,48.9689
1999-12-31,4.67,50.2109
2000-03-31,19.7,56.8594
2000-06-30,13.88,55.1609
2000-09-30,8.42,53.0917
2000-12-31,3.59,52.013
2001-03-31,-8.98,51.7556
2001-06-30,-5.62,52.0608
2001-09-30,0.87,53.5535
2001-12-31,6.16,55.2146
2002-03-31,6.6,55.1713
2002-06-30,5.49,54.9209
2002-09-30,2.86,55.0867
2002-12-31,0.85,55.6829
2003-03-31,3.74,57.2369
2003-06-30,8.59,59.6375
2003-09-30,14.9,63.2942
2003-12-31,24.25,69.1857
2004-03-31,30.05,74.4372
2004-06-30,32.82,79.2099
2004-09-30,33.27,84.3492
2004-12-31,30.96,90.6077
2005-03-31,29.84,96.6456
2005-06-30,26.78,100.4218
2005-09-30,22.97,103.7268
2005-12-31,19.11,107.9256
2006-03-31,14.86,111.004
2006-06-30,12.8,113.2744
2006-09-30,10.41,114.5242
2006-12-31,8.59,117.193
2007-03-31,8.17,120.0768
2007-06-30,8.24,122.6135
2007-09-30,7.75,123.396
2007-12-31,3.6,121.4062
2008-03-31,-3.32,116.092
2008-06-30,-9.99,110.3583
2008-09-30,-15.09,104.7772
2008-12-31,-14.45,103.8662
2009-03-31,-12.04,102.1193
2009-06-30,-9.76,99.585
2009-09-30,-6.25,98.2338
2009-12-31,-4.33,99.3714
2010-03-31,-1.8,100.2777
2010-06-30,0.42,100.0052
2010-09-30,1.24,99.4553
2010-12-31,0.9,100.2653
2011-03-31,-0.55,99.73
2011-06-30,-1.48,98.5299
2011-09-30,-1.3,98.1619
2011-12-31,-1.99,98.2695
2012-03-31,-1.35,98.3834
2012-06-30,-0.91,97.6291
2012-09-30,-0.68,97.4944
2012-12-31,-0.85,97.4372
2013-03-31,-0.68,97.7172
2013-06-30,0.42,98.0423
2013-09-30,0.89,98.3632
2013-12-31,2.03,99.413
2014-03-31,1.96,99.6329
2014-06-30,1.43,99.4477
2014-09-30,0.9,99.2456
2014-12-31,0.77,100.1834
2015-03-31,1.95,101.5743
2015-06-30,1.49,100.9271
2015-09-30,1.32,100.5525
2015-12-31,1.79,101.9792
2016-03-31,-0.6,100.9649
