date,value,index
2006-03-31,3.42,199.7
2006-06-30,4.18,201.8
2006-09-30,2.01,202.8
2006-12-31,2.52,203.1
2007-03-31,2.8,205.3
2007-06-30,2.69,207.2
2007-09-30,2.83,208.5
2007-12-31,4.11,211.4
2008-03-31,3.97,213.4
2008-06-30,4.94,217.5
2008-09-30,4.95,218.9
2008-12-31,-0.02,211.4
2009-03-31,-0.45,212.5
2009-06-30,-1.23,214.8
2009-09-30,-1.38,215.9
2009-12-31,2.81,217.3
2010-03-31,2.29,217.4
2010-06-30,1.12,217.2
2010-09-30,1.12,218.3
2010-12-31,1.44,220.5
2011-03-31,2.62,223.0
2011-06-30,3.5,224.8
2011-09-30,3.81,226.6
2011-12-31,3.06,227.2
2012-03-31,2.58,228.8
2012-06-30,1.65,228.5
2012-09-30,1.95,231.0
2012-12-31,1.76,231.2
2013-03-31,1.52,232.3
2013-06-30,1.72,232.4
2013-09-30,1.09,233.5
2013-12-31,1.51,234.7
2014-03-31,1.61,236.0
2014-06-30,2.06,237.2
2014-09-30,1.68,237.5
2014-12-31,0.65,236.3
2015-03-31,-0.02,236.0
2015-06-30,0.18,237.7
2015-09-30,0.01,237.5
2015-12-31,0.64,237.8
2016-03-31,0.89,238.1
2016-06-30,1.08,240.2
2016-09-30,1.55,241.2
2016-12-31,2.05,242.6
2017-03-31,2.44,243.9
2017-06-30,1.64,244.2
2017-09-30,2.18,246.4
2017-12-31,2.13,247.8
2018-03-31,2.33,249.6
2018-06-30,2.81,251.0
2018-09-30,2.33,252.2
2018-12-31,2.0,252.8
2019-03-31,1.88,254.3
2019-06-30,1.67,255.2
2019-09-30,1.68,256.4
2019-12-31,2.32,258.6
2020-03-31,1.49,258.1
2020-06-30,0.72,257.0
2020-09-30,1.39,260.0
2020-12-31,1.32,262.0
2021-03-31,2.62,264.8
2021-06-30,5.32,270.7
2021-09-30,5.36,273.9
2021-12-31,7.16,280.8
2022-03-31,8.54,287.5
2022-06-30,9.0,295.1
2022-09-30,8.21,296.4
2022-12-31,6.41,298.8
2023-03-31,4.93,301.6
2023-06-30,3.06,304.1
2023-09-30,3.7,307.4
2023-12-31,3.32,308.7
2024-03-31,3.47,312.1
2024-06-30,2.97,313.1
2024-09-30,2.43,314.9
2024-12-31,2.87,317.6
2025-03-31,2.41,319.6
2025-06-30,2.67,321.5
2025-09-30,3.02,324.4
2025-12-31,2.65,326.0
