date,value
2005-06-30,0.49
2005-09-30,0.78
2005-12-31,0.56
2006-03-31,1.35
2006-06-30,0.26
2006-09-30,0.15
2006-12-31,0.86
2007-03-31,0.3
2007-06-30,0.61
2007-09-30,0.58
2007-12-31,0.63
2008-03-31,-0.43
2008-06-30,0.6
2008-09-30,-0.53
2008-12-31,-2.19
2009-03-31,-1.13
2009-06-30,-0.18
2009-09-30,0.35
2009-12-31,1.08
2010-03-31,0.48
2010-06-30,0.97
2010-09-30,0.77
2010-12-31,0.53
2011-03-31,-0.24
2011-06-30,0.68
2011-09-30,-0.02
2011-12-31,1.12
2012-03-31,0.84
2012-06-30,0.45
2012-09-30,0.14
2012-12-31,0.12
2013-03-31,0.99
2013-06-30,0.27
2013-09-30,0.85
2013-12-31,0.87
2014-03-31,-0.35
2014-06-30,1.29
2014-09-30,1.22
2014-12-31,0.51
2015-03-31,0.9
2015-06-30,0.62
2015-09-30,0.4
2015-12-31,0.18
2016-03-31,0.58
2016-06-30,0.32
2016-09-30,0.71
2016-12-31,0.55
2017-03-31,0.49
2017-06-30,0.56
2017-09-30,0.79
2017-12-31,1.13
2018-03-31,0.81
2018-06-30,0.53
2018-09-30,0.62
2018-12-31,0.14
2019-03-31,0.62
2019-06-30,0.84
2019-09-30,1.17
2019-12-31,0.68
2020-03-31,-1.32
2020-06-30,-7.88
2020-09-30,7.76
2020-12-31,1.13
2021-03-31,1.4
2021-06-30,1.7
2021-09-30,0.83
2021-12-31,1.72
2022-03-31,-0.25
2022-06-30,0.16
2022-09-30,0.72
2022-12-31,0.69
2023-03-31,0.72
2023-06-30,0.63
2023-09-30,1.15
2023-12-31,0.84
2024-03-31,0.21
2024-06-30,0.89
2024-09-30,0.82
2024-12-31,0.46
2025-03-31,-0.16
2025-06-30,0.95
2025-09-30,1.08
