date,value
1978-01-31,52.3
1978-02-28,52.9
1978-03-31,53.4
1978-04-30,53.9
1978-05-31,54.6
1978-06-30,54.9
1978-07-31,55.4
1978-08-31,55.9
1978-09-30,56.2
1978-10-31,56.7
1978-11-30,57.2
1978-12-31,57.7
1979-01-31,58.2
1979-02-28,58.6
1979-03-31,59.2
1979-04-30,59.7
1979-05-31,60.2
1979-06-30,60.8
1979-07-31,61.2
1979-08-31,61.6
1979-09-30,62.2
1979-10-31,62.8
1979-11-30,63.3
1979-12-31,64.2
1980-01-31,64.8
1980-02-29,65.7
1980-03-31,66.4
1980-04-30,67.2
1980-05-31,68.0
1980-06-30,68.8
1980-07-31,69.6
1980-08-31,70.3
1980-09-30,71.2
1980-10-31,72.2
1980-11-30,72.8
1980-12-31,73.5
1981-01-31,74.6
1981-02-28,75.2
1981-03-31,75.9
1981-04-30,76.7
1981-05-31,77.3
1981-06-30,78.3
1981-07-31,79.0
1981-08-31,80.3
1981-09-30,81.3
1981-10-31,82.4
1981-11-30,83.6
1981-12-31,84.4
1982-01-31,85.5
1982-02-28,86.0
1982-03-31,87.0
1982-04-30,88.0
1982-05-31,88.9
1982-06-30,89.8
1982-07-31,91.0
1982-08-31,91.8
1982-09-30,92.6
1982-10-31,93.3
1982-11-30,94.3
1982-12-31,95.0
1983-01-31,95.6
1983-02-28,97.2
1983-03-31,97.8
1983-04-30,98.6
1983-05-31,99.4
1983-06-30,100.2
1983-07-31,100.8
1983-08-31,101.9
1983-09-30,102.7
1983-10-31,103.4
1983-11-30,103.7
1983-12-31,104.9
1984-01-31,105.6
1984-02-29,106.4
1984-03-31,106.9
1984-04-30,107.6
1984-05-31,108.2
1984-06-30,108.9
1984-07-31,109.6
1984-08-31,110.1
1984-09-30,110.5
1984-10-31,111.5
1984-11-30,112.3
1984-12-31,112.9
1985-01-31,113.5
1985-02-28,113.8
1985-03-31,114.5
1985-04-30,115.1
1985-05-31,115.7
1985-06-30,116.4
1985-07-31,116.4
1985-08-31,116.9
1985-09-30,117.3
1985-10-31,117.6
1985-11-30,118.0
1985-12-31,118.6
1986-01-31,119.3
1986-02-28,120.1
1986-03-31,120.8
1986-04-30,121.3
1986-05-31,121.9
1986-06-30,122.7
1986-07-31,123.3
1986-08-31,124.1
1986-09-30,124.7
1986-10-31,125.6
1986-11-30,126.2
1986-12-31,127.2
1987-01-31,127.5
1987-02-28,127.9
1987-03-31,128.7
1987-04-30,129.7
1987-05-31,130.6
1987-06-30,131.5
1987-07-31,132.2
1987-08-31,132.9
1987-09-30,133.5
1987-10-31,134.2
1987-11-30,135.2
1987-12-31,136.1
1988-01-31,137.2
1988-02-29,138.3
1988-03-31,139.5
1988-04-30,140.7
1988-05-31,142.3
1988-06-30,143.0
1988-07-31,144.5
1988-08-31,145.7
1988-09-30,147.2
1988-10-31,148.4
1988-11-30,149.5
1988-12-31,151.1
1989-01-31,152.5
1989-02-28,154.2
1989-03-31,155.3
1989-04-30,156.6
1989-05-31,158.0
1989-06-30,159.6
1989-07-31,161.0
1989-08-31,162.5
1989-09-30,164.5
1989-10-31,165.9
1989-11-30,167.6
1989-12-31,168.2
1990-01-31,169.5
1990-02-28,170.5
1990-03-31,172.4
1990-04-30,173.8
1990-05-31,175.1
1990-06-30,176.6
1990-07-31,178.4
1990-08-31,180.7
1990-09-30,182.1
1990-10-31,183.9
1990-11-30,185.9
1990-12-31,187.3
1991-01-31,188.8
1991-02-28,190.2
1991-03-31,191.4
1991-04-30,192.7
1991-05-31,193.9
1991-06-30,195.3
1991-07-31,196.7
1991-08-31,198.2
1991-09-30,199.2
1991-10-31,200.5
1991-11-30,202.2
1991-12-31,203.9
1992-01-31,205.6
1992-02-29,207.3
