date,value
1963-03-31,17800
1963-06-30,18000
1963-09-30,17900
1963-12-31,18500
1964-03-31,18500
1964-06-30,18900
1964-09-30,18900
1964-12-31,19400
1965-03-31,20200
1965-06-30,19800
1965-09-30,20200
1965-12-31,20300
1966-03-31,21000
1966-06-30,22100
1966-09-30,21500
1966-12-31,21400
1967-03-31,22300
1967-06-30,23300
1967-09-30,22500
1967-12-31,22900
1968-03-31,23900
1968-06-30,24900
1968-09-30,24800
1968-12-31,25600
1969-03-31,25700
1969-06-30,25900
1969-09-30,25900
1969-12-31,24900
1970-03-31,23900
1970-06-30,24400
1970-09-30,23000
1970-12-31,22600
1971-03-31,24300
1971-06-30,25800
1971-09-30,25300
1971-12-31,25500
1972-03-31,26200
1972-06-30,26800
1972-09-30,27900
1972-12-31,29200
1973-03-31,30200
1973-06-30,32700
1973-09-30,33500
1973-12-31,34000
1974-03-31,35200
1974-06-30,35600
1974-09-30,36200
1974-12-31,37200
1975-03-31,38100
1975-06-30,39000
1975-09-30,38800
1975-12-31,41200
1976-03-31,42800
1976-06-30,44200
1976-09-30,44400
1976-12-31,45500
1977-03-31,46300
1977-06-30,48900
1977-09-30,48800
1977-12-31,51600
1978-03-31,53000
1978-06-30,55300
1978-09-30,56100
1978-12-31,59000
1979-03-31,60600
1979-06-30,63100
1979-09-30,64700
1979-12-31,62600
1980-03-31,63700
1980-06-30,64000
1980-09-30,64900
1980-12-31,66400
1981-03-31,66800
1981-06-30,69400
1981-09-30,69200
1981-12-31,70400
1982-03-31,66400
1982-06-30,69600
1982-09-30,69300
1982-12-31,71600
1983-03-31,73300
1983-06-30,74900
1983-09-30,77400
1983-12-31,75900
1984-03-31,78200
1984-06-30,80700
1984-09-30,81000
1984-12-31,79900
1985-03-31,82800
1985-06-30,84300
1985-09-30,83200
1985-12-31,86800
1986-03-31,88000
1986-06-30,92100
1986-09-30,93000
1986-12-31,95000
1987-03-31,97900
1987-06-30,103400
1987-09-30,106000
1987-12-31,111500
1988-03-31,110000
1988-06-30,110000
1988-09-30,115000
1988-12-31,113900
1989-03-31,118000
1989-06-30,118900
1989-09-30,120000
1989-12-31,124800
1990-03-31,123900
1990-06-30,126800
1990-09-30,117000
1990-12-31,121500
1991-03-31,120000
1991-06-30,119900
1991-09-30,120000
1991-12-31,120000
1992-03-31,119500
1992-06-30,120000
1992-09-30,120000
1992-12-31,126000
1993-03-31,125000
1993-06-30,127000
1993-09-30,127000
1993-12-31,127000
1994-03-31,130000
1994-06-30,130000
1994-09-30,129700
1994-12-31,132000
1995-03-31,130000
1995-06-30,133900
1995-09-30,132000
1995-12-31,138000
1996-03-31,137000
1996-06-30,139900
1996-09-30,140000
1996-12-31,144100
1997-03-31,145000
1997-06-30,145800
1997-09-30,145000
1997-12-31,144200
1998-03-31,152200
1998-06-30,149500
1998-09-30,153000
1998-12-31,153000
1999-03-31,157400
1999-06-30,158700
1999-09-30,159100
1999-12-31,165300
2000-03-31,165300
2000-06-30,163200
2000-09-30,168800
2000-12-31,172900
2001-03-31,169800
2001-06-30,179000
2001-09-30,172500
2001-12-31,171100
2002-03-31,188700
2002-06-30,187200
2002-09-30,178100
2002-12-31,190100
2003-03-31,186000
2003-06-30,191800
2003-09-30,191900
2003-12-31,198800
2004-03-31,212700
2004-06-30,217600
2004-09-30,213500
2004-12-31,228800
2005-03-31,232500
2005-06-30,233700
2005-09-30,236400
2005-12-31,243600
2006-03-31,247700
2006-06-30,246300
2006-09-30,235600
2006-12-31,245400
2007-03-31,257400
2007-06-30,242200
2007-09-30,241800
2007-12-31,238400
2008-03-31,233900
2008-06-30,235300
2008-09-30,226500
2008-12-31,222500
2009-03-31,208400
2009-06-30,220900
2009-09-30,214300
2009-12-31,219000
2010-03-31,222900
2010-06-30,219500
2010-09-30,224100
2010-12-31,224300
2011-03-31,226900
2011-06-30,228100
2011-09-30,223500
2011-12-31,221100
2012-03-31,238400
2012-06-30,238700
2012-09-30,248800
2012-12-31,251700
2013-03-31,258400
2013-06-30,268100
2013-09-30,264800
2013-12-31,273600
2014-03-31,275200
2014-06-30,288000
2014-09-30,281000
2014-12-31,298900
2015-03-31,289200
2015-06-30,289100
2015-09-30,295800
2015-12-31,302500
2016-03-31,299800
2016-06-30,306000
2016-09-30,303800
2016-12-31,310900
2017-03-31,313100
2017-06-30,318200
2017-09-30,320500
2017-12-31,337900
2018-03-31,331800
2018-06-30,315600
2018-09-30,330900
2018-12-31,322800
2019-03-31,313000
2019-06-30,322500
2019-09-30,318400
2019-12-31,327100
2020-03-31,329000
2020-06-30,317100
2020-09-30,327900
2020-12-31,338600
2021-03-31,355000
2021-06-30,367800
2021-09-30,395200
2021-12-31,414000
2022-03-31,413500
2022-06-30,437700
2022-09-30,438000
2022-12-31,442600
2023-03-31,429000
2023-06-30,418500
2023-09-30,435400
2023-12-31,423200
2024-03-31,426800
2024-06-30,414500
2024-09-30,415300
2024-12-31,419300
2025-03-31,423100
2025-06-30,410800
