date,value
1979-03-31,335
1979-06-30,335
1979-09-30,330
1979-12-31,326
1980-03-31,321
1980-06-30,315
1980-09-30,319
1980-12-31,315
1981-03-31,314
1981-06-30,311
1981-09-30,309
1981-12-31,312
1982-03-31,312
1982-06-30,314
1982-09-30,311
1982-12-31,313
1983-03-31,315
1983-06-30,314
1983-09-30,315
1983-12-31,312
1984-03-31,313
1984-06-30,312
1984-09-30,313
1984-12-31,316
1985-03-31,314
1985-06-30,323
1985-09-30,320
1985-12-31,320
1986-03-31,321
1986-06-30,328
1986-09-30,328
1986-12-31,331
1987-03-31,328
1987-06-30,328
1987-09-30,330
1987-12-31,328
1988-03-31,329
1988-06-30,325
1988-09-30,325
1988-12-31,324
1989-03-31,323
1989-06-30,322
1989-09-30,322
1989-12-31,322
1990-03-31,319
1990-06-30,319
1990-09-30,313
1990-12-31,312
1991-03-31,316
1991-06-30,312
1991-09-30,312
1991-12-31,313
1992-03-31,315
1992-06-30,313
1992-09-30,314
1992-12-31,312
1993-03-31,315
1993-06-30,317
1993-09-30,319
1993-12-31,319
1994-03-31,316
1994-06-30,317
1994-09-30,314
1994-12-31,314
1995-03-31,313
1995-06-30,314
1995-09-30,317
1995-12-31,313
1996-03-31,312
1996-06-30,312
1996-09-30,314
1996-12-31,313
1997-03-31,313
1997-06-30,314
1997-09-30,314
1997-12-31,314
1998-03-31,319
1998-06-30,319
1998-09-30,321
1998-12-31,328
1999-03-31,324
1999-06-30,329
1999-09-30,330
1999-12-31,335
2000-03-31,334
2000-06-30,334
2000-09-30,335
2000-12-31,334
2001-03-31,333
2001-06-30,336
2001-09-30,338
2001-12-31,340
2002-03-31,341
2002-06-30,339
2002-09-30,337
2002-12-31,336
2003-03-31,335
2003-06-30,338
2003-09-30,337
2003-12-31,337
2004-03-31,337
2004-06-30,341
2004-09-30,335
2004-12-31,337
2005-03-31,336
2005-06-30,334
2005-09-30,331
2005-12-31,332
2006-03-31,332
2006-06-30,329
2006-09-30,334
2006-12-31,337
2007-03-31,336
2007-06-30,335
2007-09-30,336
2007-12-31,332
2008-03-31,335
2008-06-30,335
2008-09-30,331
2008-12-31,340
2009-03-31,345
2009-06-30,345
2009-09-30,345
2009-12-31,344
2010-03-31,344
2010-06-30,342
2010-09-30,342
2010-12-31,341
2011-03-31,338
2011-06-30,336
2011-09-30,336
2011-12-31,335
2012-03-31,335
2012-06-30,337
2012-09-30,333
2012-12-31,333
2013-03-31,331
2013-06-30,335
2013-09-30,334
2013-12-31,334
2014-03-31,335
2014-06-30,330
2014-09-30,336
2014-12-31,336
2015-03-31,341
2015-06-30,339
2015-09-30,340
2015-12-31,345
2016-03-31,346
2016-06-30,345
2016-09-30,347
2016-12-31,349
2017-03-31,352
2017-06-30,354
2017-09-30,352
2017-12-31,345
2018-03-31,351
2018-06-30,351
2018-09-30,354
2018-12-31,355
2019-03-31,355
2019-06-30,358
2019-09-30,360
2019-12-31,362
2020-03-31,367
2020-06-30,393
2020-09-30,384
2020-12-31,376
2021-03-31,373
2021-06-30,371
2021-09-30,367
2021-12-31,362
2022-03-31,363
2022-06-30,359
2022-09-30,362
2022-12-31,362
2023-03-31,364
2023-06-30,365
2023-09-30,366
2023-12-31,369
2024-03-31,365
2024-06-30,368
2024-09-30,371
2024-12-31,374
2025-03-31,373
2025-06-30,376
2025-09-30,376
